1 Periodo,2 CUO,3 CORRELATIVO ,4 Tipo Documento ,5 Nro Documento ,6 Fecha Emision , 7 Apellidos Nombres RazonSocial , 8 Monto , 9 Estado Operacion , 10 cuenta , 11 Año ,
2023/08,76330,M76330,- None -,- None -,02/08/2023,- None -,-2 751,1,4111101,2023,
2023/08,76331,M76331,- None -,- None -,03/08/2023,- None -,-2 986,1,4111101,2023,
2023/08,76332,M76332,- None -,- None -,04/08/2023,- None -,-1 657,1,4111101,2023,
2023/08,76333,M76333,- None -,- None -,05/08/2023,- None -,-1 406,1,4111101,2023,
2023/08,76334,M76334,- None -,- None -,06/08/2023,- None -,-1 312,1,4111101,2023,
2023/08,76335,M76335,- None -,- None -,07/08/2023,- None -,-3 261,1,4111101,2023,
2023/08,76336,M76336,- None -,- None -,08/08/2023,- None -,-513,1,4111101,2023,
2023/08,76337,M76337,- None -,- None -,09/08/2023,- None -,-3 454,1,4111101,2023,
2023/08,76338,M76338,- None -,- None -,10/08/2023,- None -,-3 028,1,4111101,2023,
2023/08,76339,M76339,- None -,- None -,01/08/2023,- None -,-2 415,1,4111101,2023,
2023/08,76340,M76340,- None -,- None -,02/08/2023,- None -,-2 396,1,4111101,2023,
2023/08,76341,M76341,- None -,- None -,03/08/2023,- None -,-2 081,1,4111101,2023,
2023/08,76342,M76342,- None -,- None -,04/08/2023,- None -,-2 923,1,4111101,2023,
2023/08,76343,M76343,- None -,- None -,05/08/2023,- None -,-2 943,1,4111101,2023,
2023/08,76344,M76344,- None -,- None -,06/08/2023,- None -,-1 799,1,4111101,2023,
2023/08,76345,M76345,- None -,- None -,07/08/2023,- None -,-2 887,1,4111101,2023,
2023/08,76346,M76346,- None -,- None -,08/08/2023,- None -,-2 722,1,4111101,2023,
2023/08,76347,M76347,- None -,- None -,09/08/2023,- None -,-1 629,1,4111101,2023,
2023/08,76348,M76348,- None -,- None -,10/08/2023,- None -,-3 335,1,4111101,2023,
2023/08,76349,M76349,- None -,- None -,01/08/2023,- None -,-2 689,1,4111101,2023,
2023/08,76350,M76350,- None -,- None -,02/08/2023,- None -,-1 625,1,4111101,2023,
2023/08,76351,M76351,- None -,- None -,03/08/2023,- None -,-803,1,4111101,2023,
2023/08,76352,M76352,- None -,- None -,04/08/2023,- None -,-3 079,1,4111101,2023,
2023/08,76353,M76353,- None -,- None -,05/08/2023,- None -,-2 289,1,4111101,2023,
2023/08,76354,M76354,- None -,- None -,06/08/2023,- None -,-2 131,1,4111101,2023,
2023/08,76355,M76355,- None -,- None -,07/08/2023,- None -,-3 162,1,4111101,2023,
2023/08,76356,M76356,- None -,- None -,08/08/2023,- None -,-3 164,1,4111101,2023,
2023/08,76357,M76357,- None -,- None -,09/08/2023,- None -,-3 122,1,4111101,2023,
2023/08,76358,M76358,- None -,- None -,10/08/2023,- None -,-658,1,4111101,2023,
2023/08,76359,M76359,- None -,- None -,01/08/2023,- None -,-3 471,1,4111101,2023,
2023/08,76360,M76360,- None -,- None -,02/08/2023,- None -,-1 877,1,4111101,2023,
2023/08,76361,M76361,- None -,- None -,03/08/2023,- None -,-2 046,1,4111101,2023,
2023/08,76362,M76362,- None -,- None -,04/08/2023,- None -,-2 731,1,4111101,2023,
2023/08,76363,M76363,- None -,- None -,05/08/2023,- None -,-2 524,1,4111101,2023,
2023/08,76364,M76364,- None -,- None -,06/08/2023,- None -,-2 952,1,4111101,2023,
2023/08,76365,M76365,- None -,- None -,07/08/2023,- None -,-2 775,1,4111101,2023,
2023/08,76366,M76366,- None -,- None -,08/08/2023,- None -,-1 299,1,4111101,2023,
2023/08,76367,M76367,- None -,- None -,09/08/2023,- None -,3 291,1,4111101,2023,
2023/08,76368,M76368,- None -,- None -,10/08/2023,- None -,924,1,4111101,2023,
2023/08,76369,M76369,- None -,- None -,01/08/2023,- None -,655,1,4111101,2023,
2023/08,76370,M76370,- None -,- None -,02/08/2023,- None -,2 379,1,4111101,2023,
2023/08,76371,M76371,- None -,- None -,03/08/2023,- None -,1 851,1,4111101,2023,
2023/08,76372,M76372,- None -,- None -,04/08/2023,- None -,1 799,1,4111101,2023,
2023/08,76373,M76373,- None -,- None -,05/08/2023,- None -,2 501,1,4111101,2023,
2023/08,76374,M76374,- None -,- None -,06/08/2023,- None -,3 126,1,4111101,2023,
2023/08,76375,M76375,- None -,- None -,07/08/2023,- None -,1 989,1,4111101,2023,
2023/08,76376,M76376,- None -,- None -,08/08/2023,- None -,2 044,1,4111101,2023,
2023/08,76377,M76377,- None -,- None -,09/08/2023,- None -,653,1,4111101,2023,
2023/08,76378,M76378,- None -,- None -,10/08/2023,- None -,3 016,1,4111101,2023,
2023/08,76379,M76379,- None -,- None -,01/08/2023,- None -,3 392,1,4111101,2023,
2023/08,76380,M76380,- None -,- None -,02/08/2023,- None -,612,1,4111101,2023,
2023/08,76381,M76381,- None -,- None -,03/08/2023,- None -,2 827,1,4111101,2023,
2023/08,76382,M76382,- None -,- None -,04/08/2023,- None -,549,1,4111101,2023,
2023/08,76383,M76383,- None -,- None -,05/08/2023,- None -,1 592,1,4111101,2023,
2023/08,76384,M76384,- None -,- None -,06/08/2023,- None -,2 729,1,4111101,2023,
2023/08,76385,M76385,- None -,- None -,07/08/2023,- None -,3 414,1,4111101,2023,
2023/08,76386,M76386,- None -,- None -,08/08/2023,- None -,1 962,1,4111101,2023,
2023/08,76387,M76387,- None -,- None -,09/08/2023,- None -,2 543,1,4111101,2023,
2023/08,76388,M76388,- None -,- None -,10/08/2023,- None -,1 889,1,4111101,2023,
2023/08,76389,M76389,- None -,- None -,01/08/2023,- None -,2 830,1,4111101,2023,
2023/08,76390,M76390,- None -,- None -,02/08/2023,- None -,2 021,1,4111101,2023,
2023/08,76391,M76391,- None -,- None -,03/08/2023,- None -,966,1,4111101,2023,
2023/08,76392,M76392,- None -,- None -,04/08/2023,- None -,989,1,4111101,2023,
2023/08,76393,M76393,- None -,- None -,05/08/2023,- None -,520,1,4111101,2023,
2023/08,76394,M76394,- None -,- None -,06/08/2023,- None -,1 399,1,4111101,2023,
2023/08,76395,M76395,- None -,- None -,07/08/2023,- None -,2 362,1,4111101,2023,
2023/08,76396,M76396,- None -,- None -,08/08/2023,- None -,1 354,1,4111101,2023,
2023/08,76397,M76397,- None -,- None -,09/08/2023,- None -,1 156,1,4111101,2023,
2023/08,76398,M76398,- None -,- None -,10/08/2023,- None -,825,1,4111101,2023,
2023/08,76399,M76399,- None -,- None -,01/08/2023,- None -,1 660,1,4111101,2023,
2023/08,76400,M76400,- None -,- None -,02/08/2023,- None -,2 501,1,4111101,2023,
2023/08,76401,M76401,- None -,- None -,03/08/2023,- None -,2 574,1,4111101,2023,
2023/08,76402,M76402,- None -,- None -,04/08/2023,- None -,928,1,4111101,2023,
2023/08,76403,M76403,- None -,- None -,05/08/2023,- None -,2 467,1,4111101,2023,
2023/08,76404,M76404,- None -,- None -,06/08/2023,- None -,1 688,1,4111101,2023,
2023/08,76405,M76405,- None -,- None -,07/08/2023,- None -,514,1,4111101,2023,
2023/08,76406,M76406,- None -,- None -,08/08/2023,- None -,1 310,1,4111101,2023,
2023/08,76407,M76407,- None -,- None -,09/08/2023,- None -,1 274,1,4111101,2023,
2023/08,76408,M76408,- None -,- None -,10/08/2023,- None -,1 410,1,4111101,2023,
2023/08,76409,M76409,- None -,- None -,01/08/2023,- None -,3 317,1,4111101,2023,
2023/08,76410,M76410,- None -,- None -,02/08/2023,- None -,2 066,1,4111101,2023,
2023/08,76411,M76411,- None -,- None -,03/08/2023,- None -,1 818,1,4111101,2023,
2023/08,76412,M76412,- None -,- None -,04/08/2023,- None -,1 961,1,4111101,2023,
2023/08,76413,M76413,- None -,- None -,05/08/2023,- None -,2 608,1,4111101,2023,
2023/08,76414,M76414,- None -,- None -,06/08/2023,- None -,2 284,1,4111101,2023,
2023/08,76415,M76415,- None -,- None -,07/08/2023,- None -,1 714,1,4111101,2023,
2023/08,76416,M76416,- None -,- None -,08/08/2023,- None -,2 520,1,4111101,2023,
2023/08,76417,M76417,- None -,- None -,09/08/2023,- None -,2 259,1,4111101,2023,
2023/08,76418,M76418,- None -,- None -,10/08/2023,- None -,760,1,4111101,2023,
2023/08,76419,M76419,- None -,- None -,01/08/2023,- None -,2 903,1,4111101,2023,
2023/08,76420,M76420,- None -,- None -,02/08/2023,- None -,2 059,1,4111101,2023,
2023/08,76421,M76421,- None -,- None -,03/08/2023,- None -,1 986,1,4111101,2023,
2023/08,76422,M76422,- None -,- None -,04/08/2023,- None -,2 179,1,4111101,2023,
2023/08,76423,M76423,- None -,- None -,05/08/2023,- None -,643,1,4111101,2023,
2023/08,76424,M76424,- None -,- None -,06/08/2023,- None -,2 157,1,4111101,2023,
2023/08,76425,M76425,- None -,- None -,07/08/2023,- None -,1 246,1,4111101,2023,
2023/08,76426,M76426,- None -,- None -,08/08/2023,- None -,3 376,1,4111101,2023,
2023/08,76427,M76427,- None -,- None -,09/08/2023,- None -,1 198,1,4111101,2023,
2023/08,76428,M76428,- None -,- None -,10/08/2023,- None -,2 164,1,4111101,2023,
2023/08,76429,M76429,- None -,- None -,01/08/2023,- None -,2 966,1,4111101,2023,
2023/08,76430,M76430,- None -,- None -,02/08/2023,- None -,1 155,1,4111101,2023,
2023/08,76431,M76431,- None -,- None -,03/08/2023,- None -,881,1,4111101,2023,
2023/08,76432,M76432,- None -,- None -,04/08/2023,- None -,1 817,1,4111101,2023,
2023/08,76433,M76433,- None -,- None -,05/08/2023,- None -,1 273,1,4111101,2023,
2023/08,76434,M76434,- None -,- None -,06/08/2023,- None -,1 906,1,4111101,2023,
2023/08,76435,M76435,- None -,- None -,07/08/2023,- None -,1 604,1,4111101,2023,
2023/08,76436,M76436,- None -,- None -,08/08/2023,- None -,1 418,1,4111101,2023,
2023/08,76437,M76437,- None -,- None -,09/08/2023,- None -,580,1,4111101,2023,
2023/08,76438,M76438,- None -,- None -,10/08/2023,- None -,2 105,1,4111101,2023,
2023/08,76439,M76439,- None -,- None -,01/08/2023,- None -,2 026,1,4111101,2023,
2023/08,76440,M76440,- None -,- None -,02/08/2023,- None -,2 636,1,4111101,2023,
2023/08,76441,M76441,- None -,- None -,03/08/2023,- None -,1 159,1,4111101,2023,
2023/08,76442,M76442,- None -,- None -,04/08/2023,- None -,3 083,1,4111101,2023,
2023/08,76443,M76443,- None -,- None -,05/08/2023,- None -,2 167,1,4111101,2023,
2023/08,76444,M76444,- None -,- None -,06/08/2023,- None -,882,1,4111101,2023,
2023/08,76445,M76445,- None -,- None -,07/08/2023,- None -,1 184,1,4111101,2023,
2023/08,76446,M76446,- None -,- None -,08/08/2023,- None -,2 541,1,4111101,2023,
2023/08,76447,M76447,- None -,- None -,09/08/2023,- None -,2 563,1,4111101,2023,
2023/08,76448,M76448,- None -,- None -,10/08/2023,- None -,1 492,1,4111101,2023,
2023/08,76449,M76449,- None -,- None -,01/08/2023,- None -,950,1,4111101,2023,
2023/08,76450,M76450,- None -,- None -,02/08/2023,- None -,1 024,1,4111101,2023,
2023/08,76451,M76451,- None -,- None -,03/08/2023,- None -,653,1,4111101,2023,
2023/08,76452,M76452,- None -,- None -,04/08/2023,- None -,3 401,1,4111101,2023,
2023/08,76453,M76453,- None -,- None -,05/08/2023,- None -,774,1,4111101,2023,
2023/08,76454,M76454,- None -,- None -,06/08/2023,- None -,663,1,4111101,2023,
2023/08,76455,M76455,- None -,- None -,07/08/2023,- None -,1 888,1,4111101,2023,
2023/08,76456,M76456,- None -,- None -,08/08/2023,- None -,2 035,1,4111101,2023,
2023/08,76457,M76457,- None -,- None -,09/08/2023,- None -,508,1,4111101,2023,
2023/08,76458,M76458,- None -,- None -,10/08/2023,- None -,569,1,4111101,2023,
2023/08,76459,M76459,- None -,- None -,01/08/2023,- None -,3 121,1,4111101,2023,
2023/08,76460,M76460,- None -,- None -,02/08/2023,- None -,1 437,1,4111101,2023,
2023/08,76461,M76461,- None -,- None -,03/08/2023,- None -,1 123,1,4111101,2023,
2023/08,76462,M76462,- None -,- None -,04/08/2023,- None -,1 045,1,4111101,2023,
2023/08,76463,M76463,- None -,- None -,05/08/2023,- None -,772,1,4111101,2023,
2023/08,76464,M76464,- None -,- None -,06/08/2023,- None -,2 447,1,4111101,2023,
2023/08,76465,M76465,- None -,- None -,07/08/2023,- None -,996,1,4111101,2023,
2023/08,76466,M76466,- None -,- None -,08/08/2023,- None -,2 040,1,4111101,2023,
2023/08,76467,M76467,- None -,- None -,09/08/2023,- None -,2 078,1,4111101,2023,
2023/08,76468,M76468,- None -,- None -,10/08/2023,- None -,1 085,1,4111101,2023,
2023/08,76469,M76469,- None -,- None -,01/08/2023,- None -,1 901,1,4111101,2023,
2023/08,76470,M76470,- None -,- None -,02/08/2023,- None -,2 740,1,4111101,2023,
2023/08,76471,M76471,- None -,- None -,03/08/2023,- None -,1 650,1,4111101,2023,
2023/08,76472,M76472,- None -,- None -,04/08/2023,- None -,1 008,1,4111101,2023,
2023/08,76473,M76473,- None -,- None -,05/08/2023,- None -,764,1,4111101,2023,
2023/08,76474,M76474,- None -,- None -,06/08/2023,- None -,2 178,1,4111101,2023,
2023/08,76475,M76475,- None -,- None -,07/08/2023,- None -,2 864,1,4111101,2023,
2023/08,76476,M76476,- None -,- None -,08/08/2023,- None -,1 160,1,4111101,2023,
2023/08,76477,M76477,- None -,- None -,09/08/2023,- None -,3 418,1,4111101,2023,
